"Primary Field","Title","Work type","Year","[publisher]","[location]","Page no","Issue","Volume","Source link","[commentaries]","[work roles]","Complete","[news items]"
"Rien qu'encens et filigrane (1987)","Rien qu'encens et filigrane","Single Author|Selected Works","1987","['recg6W1lHLDtNPmtl']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recGhFY8epUQ4rqka']","",""
"Christopher Okigbo: Creative Rhetoric (1972)","Christopher Okigbo: Creative Rhetoric","Single Author|Full Length","1972","['recnbn7VeDWh0PMTU']","","","",""," - ","","['rec1s5PBCVtVj3MYv', 'recYEtXxsfXIOtVpM', 'recBqVqE88txl0Ufj', 'rechGOc14GfJzFrcr']","",""
"Le\pagne noir (1955)","Le\pagne noir","Single Author|Selected Works","1955","['recBNQUZKQDtko1eM']","","","",""," - ","","['recdseCuXXT6dl6gL']","",""
"Kleur van Donkerte: verse 1942-1956 (1981)","Kleur van Donkerte: verse 1942-1956","Single Author|Selected Works","1981","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['rec56uHZPziEoKvkg']","",""
"Die Vrou en ander verse (1945)","Die Vrou en ander verse","Single Author|Full Length","1945","['recaOL5DmwflOJz1q']","['recFjYFloIc1MhnAb']","","",""," - ","","['recabbOhxpOmhtwY5']","",""
"Le Ventre (1964)","Le Ventre","Single Author|Selected Works","1964","['recg6W1lHLDtNPmtl']","['recaO8FXmzgUWmwxw']","","",""," - ","","['rec1rSxyMixVLDWuG']","",""
"Die Helder Halfjaar (Bright half-year) (1956)","Die Helder Halfjaar (Bright half-year)","Single Author|Selected Works","1956","['recw6N3ltjrOCXqWq']","['recByKWBNYTnFNrCp']","","",""," - ","","['recfbeLZ0soB3lq0B']","",""
"Calls Across the Sea (1917)","Calls Across the Sea","Single Author|Selected Works","1917","['rec9rJE4Sio33chZO']","['recfIcl7v6SgmqwkD']","","",""," - ","","['recagperKhPaEqi56']","",""
"Indida Yamancasakazi (1995)","Indida Yamancasakazi","Single Author|Full Length","1995","","","","",""," - ","","['rece8SFqNiwYFVGwj']","",""
"Arrow of God (1964)","Arrow of God","Single Author|Full Length","1964","['recKkNwvXwxWNXvFT']","['reckYc4fBX8zNzPHT']","","",""," - ","","['recn4Jl7kNiJNC5XH', 'recKB73DsB2CHgRXB', 'recntWBuhRN1RKK19', 'recq4qWx25gh395It', 'recfmqVWX0jIL6Sp2', 'rec7OqQbIkQgvuKDy', 'recwzjC1xTGJvylcs', 'reck1XTqXqg5FQ9CV', 'recyfLMwjuH2ySAUa']","","['recENYPFi07koxKf6']"
"Patron de New York (1964)","Patron de New York","Single Author|Full Length","1964","['recg6W1lHLDtNPmtl']","['recaO8FXmzgUWmwxw']","","",""," - ","","['reckY3bzv7hdmGqqs']","",""
"Mantis Poets: Guy Butler/Patrick Cullinan (1998)","Mantis Poets: Guy Butler/Patrick Cullinan","Single Author|Selected Works","1998","['rec0AXobCaUyqEPsH']","['recByKWBNYTnFNrCp']","","",""," - ","","['recJhRCXaI3WLfdlI']","",""
"’n Onbekende jaartal (1995)","’n Onbekende jaartal","Single Author|Selected Works","1995","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['recvto38YYy7BicDh']","",""
"More Modern African Stories (1975)","More Modern African Stories","Anthology","1975","['recX5DMN31T5VWem9']","['recRPTnrNPU6ArRJv']","","",""," - ","","['rec2HH4SsKoKu0h0o', 'recptMp4rWV7npiNz', 'rec0qflQldQ9Jg2F2']","","['recjpnB6GZQDx9dfZ']"
"Indian Landscape: A Book of Descriptive Poems (1947)","Indian Landscape: A Book of Descriptive Poems","Single Author|Selected Works","1947","['recfg8XeRA88wYMUA']","","","",""," - ","","['recrJLNjuHiG49OrG']","",""
"Time to Be Born (1999)","Time to Be Born","Single Author|Selected Works","1999","['recsC8jfqLanZt7gI']","","","",""," - ","","['recilAGCOCoSPq5vt']","",""
"One Night at Victoria Beach (1962)","One Night at Victoria Beach","Poem","1962","","","","",""," - ","","['reciOHVxS43HJ0wAN']","","['recaUCGdyqex9Jihj']"
"The Serusite (1982)","The Serusite","Single Author|Selected Works","1982","","","","",""," - ","","['rec8ql7ZGY8sCBiE5']","",""
"Adamastor (1930)","Adamastor","Single Author|Selected Works","1930","['recEzJUESbrePx4Kd']","['recR6YHhrfthZo5tS']","","",""," - ","","['recaDS8d3Ee3rVt9H']","","['reccXchcTo32BrBxp', 'recYg0q7fhUUahKaq', 'rectEHTnn9SxSMusW']"
"Walking through our sleep (1974)","Walking through our sleep","Single Author|Selected Works","1974","['recgzwAW9Jxrjo7Cu']","","","",""," - ","","['recJNsV8bFuodH2jx']","",""
"History Is the Home Address (2004)","History Is the Home Address","Single Author|Selected Works","2004","['recJlRVhcyEr0JW8a']","['recByKWBNYTnFNrCp']","","",""," - ","","['rec2EqE5G3cS7dHfs']","",""
"Selected Poems of Francis Carey Slater (1947)","Selected Poems of Francis Carey Slater","Single Author|Selected Works","1947","['reckBi9snfx9vvo8R']","['recZw13lsI65j01ma']","","",""," - ","","['recjoXrDLSL2YF0P2']","","['recytcYH8Qx0pDzkl']"
"Oorlogsgedigte (War poems) (1942)","Oorlogsgedigte (War poems)","Single Author|Selected Works","1942","","","","",""," - ","","['recDYWgcTW3Ssq46N']","",""
"Onderdak (Under shelter) (1968)","Onderdak (Under shelter)","Single Author|Selected Works","1968","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['recwNjFpPUGOK5O6u']","",""
"Wayward Girls and Wicked Women (1986)","Wayward Girls and Wicked Women","Anthology","1986","['rec2nNIo1HU4aDtUH']","","","",""," - ","","['recu7XbCojMs1gfa2']","","['recg6W3fpn1kW2yUF']"
"Drive of the Tide: Poems (1976)","Drive of the Tide: Poems","Single Author|Selected Works","1976","['rect46PrIYgnKcOP4']","['reccFtDXkKl5m0OSx']","","",""," - ","","['recXYj77uftI3Ex82']","",""
"Die Ysterwoud (1976)","Die Ysterwoud","Single Author|Selected Works","1976","['recw6N3ltjrOCXqWq']","['recByKWBNYTnFNrCp']","","",""," - ","","['rec2FqFlve1y9toke']","",""
"The Directions of Memory (1964)","The Directions of Memory","Single Author|Selected Works","1964","['rec32eHlNF1uReLo0']","['recR6YHhrfthZo5tS']","","",""," - ","","","",""
"A Littoral Zone (1991)","A Littoral Zone","Single Author|Selected Works","1991","['rec1h2M3X4N0UduIL']","['recaO8FXmzgUWmwxw']","","",""," - ","","['reck0SHWDmm5cIcID']","",""
"The Horizon Forty Miles Away (1963)","The Horizon Forty Miles Away","Single Author|Selected Works","1963","['recBZ2b6XOEdQ17UK']","","","",""," - ","","['recRtDwipbpAoEs9Y']","",""
"The Drought (1929)","The Drought","Poem","1929","","","","",""," - ","","['recz66bRulRHhSFlB', 'recjac74vc62avIhH']","",""
"A Messiah of the Last Days (1974)","A Messiah of the Last Days","Single Author|Full Length","1974","['recEzJUESbrePx4Kd']","['recR6YHhrfthZo5tS']","","",""," - ","","['recyKCfIcCS2IAmi1']","","['recAqaGycBVIDe9Ot']"
"Poems of a South African (1928)","Poems of a South African","Single Author|Selected Works","1928","['recJ8sAV5dNOppLTN']","['recR6YHhrfthZo5tS']","","",""," - ","","['recvgYJiApXgCsv5x']","",""
"Dogter van Jefta (Daughter of Jephthah) (1970)","Dogter van Jefta (Daughter of Jephthah)","Single Author|Selected Works","1970","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['recs91DtdCy5h8Ymm']","",""
"The Africa We Knew (1973)","The Africa We Knew","Single Author|Selected Works","1973","['recg44jiTURQsepfX']","['recByKWBNYTnFNrCp']","","",""," - ","","['recwPRxh7xVXlGxYH']","",""
"Rembrandt's Mirror (1987)","Rembrandt's Mirror","Single Author|Full Length","1987","['recE99FOnvoflZxZA']","['recvxl0RUoij0HytG']","","",""," - ","","","",""
"The White Hail in the Orchard and other poems (1984)","The White Hail in the Orchard and other poems","Single Author|Selected Works","1984","['recg44jiTURQsepfX']","['recByKWBNYTnFNrCp']","","",""," - ","","['recasznPYyxXGPqec']","",""
"Opinions d'un nègre: Aphorismes, 1934-1946 (1980)","Opinions d'un nègre: Aphorismes, 1934-1946","Single Author|Selected Works","1980","['recAU7zvVEUhNcgfE']","","","",""," - ","","['recjTeBujguroBn9E']","",""
"The Drama of Black Africa (1974)","The Drama of Black Africa","Single Author|Full Length","1974","['recpxMMy7oVYyupK9']","","","",""," - ","","['rect9azrptBL4uJ9U']","","['rec89wygvAuOFRpC6']"
"Lake and War: African Land and Water Verses (1917)","Lake and War: African Land and Water Verses","Single Author|Selected Works","1917","['recCGS5qIEq3w252l']","['recZw13lsI65j01ma']","","",""," - ","","['reccfsWwx5Xs6GbBZ']","",""
"The Rivers that Connect us to the Past (1996)","The Rivers that Connect us to the Past","Single Author|Selected Works","1996","['rec55yLqZ4T0tJCCl']","","","",""," - ","","['reclbxMnQyyFkuhz3']","",""
"Balans (Balance) (1962)","Balans (Balance)","Single Author|Selected Works","1962","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['recUiB4Spai2kAJBA']","",""
"Grass for the Unicorn. (1975)","Grass for the Unicorn.","Single Author|Selected Works","1975","['rec0d7y0FYfgI37iq']","","","",""," - ","","['recxHV8lMzsa7g8if']","",""
"Bundy in the Greenwood (1902)","Bundy in the Greenwood","Single Author|Selected Works","1902","['recB3ZseRwZA1Q8Sf']","","","",""," - ","","","",""
"Sur les marches du soir (1940)","Sur les marches du soir","Single Author|Selected Works","1940","['recsVHmZtrZOfxJUf']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recE8KuI4cJGlL14t']","",""
"Selected Poems (1980)","Selected Poems","Single Author|Selected Works","1980","['recF07KfYjjsKbnSz']","['recFjYFloIc1MhnAb']","","",""," - ","","['recGzA34pBpxo6Hkd']","",""
"Longman Anthology of World Literature by Women 1875-1975 (1989)","Longman Anthology of World Literature by Women 1875-1975","Anthology","1989","['recpnKAl8DyDg6Njk']","['recR6YHhrfthZo5tS']","","",""," - ","","['rec8uvFLqHPsD2t1S', 'recvYHBZv5rCZbCw5']","","['rec7QDWEjvfHWmqS8']"
"Die speelman van Dorestad (1949)","Die speelman van Dorestad","Single Author|Selected Works","1949","['recYN91fhMQgFG4hs']","['recFjYFloIc1MhnAb']","","",""," - ","","['recFIG8T9MdQgNkTs']","",""
"Unodumehlezi Kamenzi (2017)","Unodumehlezi Kamenzi","Single Author|Selected Works","2017","['rec1A03SZHyn2YohP']","['reckyxi4BnnhhZ5nF']","","",""," - ","","['recZYlQVZwxMoBmOx']","",""
"Down to my last skin: Poems (2009)","Down to my last skin: Poems","Single Author|Selected Works","2009","['recQtPYt3QHkGMKEj']","['recRPTnrNPU6ArRJv']","","",""," - ","","['recHstxFAsQsjgACk']","",""
"Eugene en ander gedigte (1961)","Eugene en ander gedigte","Single Author|Selected Works","1961","['recjegVjCwIibZ2my']","","","",""," - ","","['recWvFjHS8TOndaJU']","",""
"Echoes from the Mountain: New and Selected Poems (2007)","Echoes from the Mountain: New and Selected Poems","Single Author|Selected Works","2007","['recrNXFsiegJBSEbz']","['rechXxEReQlGKd2ar']","","",""," - ","","['recf3AQ2VFT7sm3IX']","",""
"Oral Literature in Africa (1970)","Oral Literature in Africa","Single Author|Full Length","1970","['reckBi9snfx9vvo8R']","['recZw13lsI65j01ma']","","",""," - ","","['recQKao8BliyVDVld']","",""
"Winter-surplus (1999)","Winter-surplus","Single Author|Selected Works","1999","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['recqUF9QzZJsrDUU6']","",""
"In the Skin House (1993)","In the Skin House","Single Author|Selected Works","1993","['recYQDXRa2WsSnoTL']","","","",""," - ","","['rec7YK2WRqVbKIiQx']","",""
"Smartlap (1981)","Smartlap","Single Author|Selected Works","1981","","","","",""," - ","","['recFazcojK1uICRla']","",""
"A Reed in the Tide (1965)","A Reed in the Tide","Single Author|Selected Works","1965","['recJ8sAV5dNOppLTN']","['recR6YHhrfthZo5tS']","","",""," - ","","['recfBWu230lLoVlsg']","",""
"Fugard, Sheila. The Castaways. Macmillan, 1972. (1972)","Fugard, Sheila. The Castaways. Macmillan, 1972.","Single Author|Full Length","1972","","","","",""," - ","","['recUb6k5u1fBTH4Po']","","['recjZzOZk93o9SVXd']"
"A Last Attachment (1979)","A Last Attachment","Poem","1979","","","","",""," - ","","['recUEL7b124OOr6NW', 'recsrecFMEiOpIhQm']","",""
"Anthologie de la nouvelle poésie nègre et malgache (1948)","Anthologie de la nouvelle poésie nègre et malgache","Anthology","1948","['reci05RYQudsRYE8O']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recxmr3gdebPdtICl', 'rec3ts1gP1VNENifu']","",""
"Pity the Spring: Poems (1953)","Pity the Spring: Poems","Single Author|Selected Works","1953","['reccegMyaZmmzn4hx']","['recFjYFloIc1MhnAb']","","",""," - ","","['recezHpCYnjGlR5WO']","",""
"Album (1967)","Album","Single Author|Selected Works","1967","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['recBNppEhGp4AfCJ1']","",""
"Kanse Op 'N Wrak (1982)","Kanse Op 'N Wrak","Single Author|Selected Works","1982","['recw6N3ltjrOCXqWq']","['recByKWBNYTnFNrCp']","","",""," - ","","['rec8JINGwjZIlol5n']","",""
"Guy Butler: Collected Poems (1999)","Guy Butler: Collected Poems","Single Author|Collected Works","1999","['recg44jiTURQsepfX']","['recByKWBNYTnFNrCp']","","",""," - ","","['recnAloawq8tSMtDg']","",""
"Hamewith: The Complete Poems of Charles Murray (1982)","Hamewith: The Complete Poems of Charles Murray","Single Author|Collected Works","1982","['recEeIkAvaSBazZzn']","['recPpOUCWKa5TQtDi']","","",""," - ","","['recnAXYewZKiQj1rj']","",""
"White Writing: On the culture of letters in South Africa (1988)","White Writing: On the culture of letters in South Africa","Single Author|Full Length","1988","['rec32VB95Ccos35Qc']","['recWeERfZymyM2L94']","","",""," - ","","['recKdbPfP0MygVXQe', 'recWzoEccCkjFD72N', 'rectcNGuMa68mgyrm']","","['recTYUbWJ3zqL1sQA', 'recICwTL7ZD5VLHmd']"
"Poems from Prison (1969)","Poems from Prison","Single Author|Selected Works","1969","['receSvcw3zgvIUMHO']","","","",""," - ","","['rece6Q2gIC4XQU9NL']","",""
"Poèmes (1964)","Poèmes","Single Author|Selected Works","1964","['recusHIMurW6VPON7']","","","",""," - ","","['recx0siN2wIwz63IU']","",""
"Englishmen (1985)","Englishmen","Single Author|Selected Works","1985","['recKkNwvXwxWNXvFT']","['reckYc4fBX8zNzPHT']","","",""," - ","","['rec98f9KCkHkCjU0Y']","",""
"Swahili Poetry (1962)","Swahili Poetry","Anthology","1962","['recyHCLEwYTDvlAwV']","['recZw13lsI65j01ma']","","",""," - ","","","",""
"Interview with Christopher Okigbo (1965)","Interview with Christopher Okigbo","Single Author|Full Length","1965","['reckBi9snfx9vvo8R']","['recZw13lsI65j01ma']","","",""," - ","","['rec2hRAkTyaGwovJ9', 'recGZs5n5MIZod9EP']","",""
"Threshold (1975)","Threshold","Single Author|Selected Works","1975","['recF07KfYjjsKbnSz']","['recFjYFloIc1MhnAb']","","",""," - ","","['recUTK4Okz7GpqEwd']","",""
"Contemporary Poets of the English Language (1969)","Contemporary Poets of the English Language","Single Author|Full Length","1969","['recMyZQyd2icP4i8d']","","","",""," - ","","['recRvBZ3udc1TmCPD', 'recAV80KqbHZlKRf4', 'recVS62pI7omrhSM6']","",""
"Lamba (1956)","Lamba","Single Author|Selected Works","1956","['recg6W1lHLDtNPmtl']","['recaO8FXmzgUWmwxw']","","",""," - ","","['rec1gat0Rrkp7OX62']","",""
"Poems (2003)","Poems","Single Author|Selected Works","2003","","","","",""," - ","","['recHHVDt4SlEuCb4d']","",""
"Maturin's Marriage (1907)","Maturin's Marriage","Single Author|Selected Works","1907","","","","",""," - ","","['reckv0POKQOPuBhX2']","",""
"La ville où nul ne meurt (1968)","La ville où nul ne meurt","Single Author|Selected Works","1968","['recg6W1lHLDtNPmtl']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recjtCE6XgwAgQbzr']","",""
"Country of My Skull (1998)","Country of My Skull","Single Author|Selected Works","1998","['recQtPYt3QHkGMKEj']","['recRPTnrNPU6ArRJv']","","",""," - ","","['rec57xV2G67Zgx0kV']","","['recVmNSVBI3LC1RbW', 'rectaeoaU849P1Oh2', 'recJt1FfrEH6FEsfn']"
"Limits (1964)","Limits","Single Author|Selected Works","1964","['recsbhF8jfAiLQIpI']","","","",""," - ","","['recYYn15CIVcuhHdw', 'recfJfo4oT1dQXujA', 'rec7bdkYHqFf8mJ4N', 'recYs6TvEWUuZWGi6', 'recptTN9fI149GdE3', 'recN7VLXvdB2COqkg', 'recYwpwkUv7wVAaCJ', 'rec9zcdgdAlykUbkJ', 'recFI2QfHfaCdgvMN']","","['recENYPFi07koxKf6']"
"Les jambes du fils de Dieu (1980)","Les jambes du fils de Dieu","Single Author|Selected Works","1980","['reckCrbmP4UxDn6ft']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recgpPsjhBfg01qUo']","",""
"The Rape of Shavi (1983)","The Rape of Shavi","Single Author|Full Length","1983","","","178","",""," - ","","","","['recbmfJoXb9y63qIn']"
"Hosties noires (1949)","Hosties noires","Single Author|Selected Works","1949","['recusHIMurW6VPON7']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recLzw6b9maQkVP0e']","",""
"Zulu Poems (1970)","Zulu Poems","Single Author|Selected Works","1970","['recfCaSzWrPrCRctd']","","","",""," - ","","['recl3ZFRW5ZvhSVQ2']","",""
"Reading the Victory Ode (2012)","Reading the Victory Ode","Anthology","2012","['recqjzd8XHCYYoJZN']","['recR6YHhrfthZo5tS']","","",""," - ","","","",""
"Elegies (1990)","Elegies","Single Author|Selected Works","1990","['recqGoFNuVrUCZAju']","['recRPTnrNPU6ArRJv']","","",""," - ","","['recSitcr7Dh9zv8Ku']","",""
"Collected Verse of Rudyard Kipling (1907)","Collected Verse of Rudyard Kipling","Single Author|Collected Works","1907","['reciRpC86N1AiiFL2']","['recR6YHhrfthZo5tS']","","",""," - ","","['rec3XETxh0yAe061t']","",""
"The White Hail in the Orchard and other poems (1984)","The White Hail in the Orchard and other poems","Single Author|Selected Works","1984","['recg44jiTURQsepfX']","['recByKWBNYTnFNrCp']","","",""," - ","","['reczZWAuQmwjnP1Lh', 'recS8k1NoGHYUs9yc', 'recAdn6wjLKokP0QW']","","['recbYsA8nKU5kIT0q']"
"Lisbon: Portrait Guide by David Wright and Patrick Swift (1971)","Lisbon: Portrait Guide by David Wright and Patrick Swift","Single Author|Full Length","1971","['receVIIrRZwJG3UPh']","['recR6YHhrfthZo5tS']","","",""," - ","","['rec6Sn6WYeEzRtkBg']","","['rec3W1R7AzhO37i4W']"
"Engel uit die klip (1948)","Engel uit die klip","Single Author|Selected Works","1948","['recw6N3ltjrOCXqWq']","['recByKWBNYTnFNrCp']","","",""," - ","","['recIYvFdT7myipf08']","",""
"Modern Poems (1917)","Modern Poems","Single Author|Selected Works","1917","['recCGS5qIEq3w252l']","['recZw13lsI65j01ma']","","",""," - ","","['recsFYQCNctQHCbhS']","","['rec7hEAy7UcOc9vsS']"
"Primordiale du Sixième Jour (1963)","Primordiale du Sixième Jour","Single Author|Selected Works","1963","['recg6W1lHLDtNPmtl']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recI5Szus1jgdpGhb']","","['rec9g8o8XDQLBGmtC']"
"Selected Poems (1984)","Selected Poems","Single Author|Selected Works","1984","['recOUR8HjMwZa9krv']","","","",""," - ","","","",""
"In Keats Country (2015)","In Keats Country","Single Author|Selected Works","2015","['recevjrYrffqRJqTm']","['recR6YHhrfthZo5tS']","","",""," - ","","['reckG3Urzo3fBTmy8']","",""
"No Baby Must Weep (1975)","No Baby Must Weep","Single Author|Selected Works","1975","['recF07KfYjjsKbnSz']","['recFjYFloIc1MhnAb']","","",""," - ","","['recLWPCaPfqmIk9a6']","",""
"Chapter & Verse: Bible Poems (1984)","Chapter & Verse: Bible Poems","Single Author|Selected Works","1984","['recSL9OOvDH6PQ7vV']","['recR6YHhrfthZo5tS']","","",""," - ","","","",""
"Mhudi (1978)","Mhudi","Single Author|Selected Works","1978","['recxs7nr1XEK0p7Jk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recmZbuHCJepxMrrZ', 'recNO8YuM4CTXQ7aW', 'recT4PEjXjaVw9M35', 'recBeweZlFNbTvC72']","","['reclu5cvQA95fq1bG']"
"The Wayzgoose. (1928)","The Wayzgoose.","Single Author|Full Length","1928","['recXxVdJnHU3pvIEC']","['recR6YHhrfthZo5tS']","","",""," - ","","['recTPGJ9hljEOIFek']","","['reccXchcTo32BrBxp']"
"Whitewashes (1970)","Whitewashes","Single Author|Selected Works","1970","['recypkGtlqisvggQ4']","['recqbmNIWqc8HHc6L']","","",""," - ","","['rec1uPWritIIRo33f']","",""
"The Political Struwwelpeter (1899)","The Political Struwwelpeter","Single Author|Full Length","1899","['recDNIiLLyPChg9eS']","","","",""," - ","","","",""
"Mhoi cheul (1979)","Mhoi cheul","Single Author|Selected Works","1979","","","","",""," - ","","['rec7WDruxSPZiTdFX']","",""
"Tussensang (In-between song) (1950)","Tussensang (In-between song)","Single Author|Selected Works","1950","['recaOL5DmwflOJz1q']","['recFjYFloIc1MhnAb']","","",""," - ","","['recZ9l3T7E31NDQDP']","",""
"The Faber Book of Twentieth Century Verse: An Anthology of Verse in Britain 1900-1950 (1953)","The Faber Book of Twentieth Century Verse: An Anthology of Verse in Britain 1900-1950","Anthology","1953","['recEzJUESbrePx4Kd']","['recR6YHhrfthZo5tS']","","",""," - ","","['recagmjtk7aQU4zsB']","",""
"The Heinemann Book of African Poetry in English (1990)","The Heinemann Book of African Poetry in English","Anthology","1990","['recKkNwvXwxWNXvFT']","['reckYc4fBX8zNzPHT']","","",""," - ","","['recqFySlnsKrbN6D7', 'rec8j9zzLHaQNH4i6', 'recBpP7lgfb2yA5yv', 'recPe13CGXzm5aORV', 'recRIfcswwGRhsT37', 'recDKl4Q1VyCB28uM', 'recWmEqPVEgv4gCmi', 'rec9OkJhkX65rph4y', 'recqOOXkojNfbgrCE']","","['recsRQSeqNR0twAdA']"
"An Unknown Border (1954)","An Unknown Border","Single Author|Selected Works","1954","['reck5xcR3GoDfQy6k']","['recByKWBNYTnFNrCp']","","",""," - ","","['recRNk9tnKkkYa1If']","",""
"Lenrie Peters: Selected Poetry (1981)","Lenrie Peters: Selected Poetry","Single Author|Selected Works","1981","['recKkNwvXwxWNXvFT']","['reckYc4fBX8zNzPHT']","","",""," - ","","['recCypZu8dzLeX0Xc', 'recKuxmeSPxjTpacj']","","['rec5VG4rYGmqjoOJA']"
"Verklaarde Nag (1946)","Verklaarde Nag","Single Author|Selected Works","1946","['recxq15WOgg1YwL7j']","['recByKWBNYTnFNrCp']","","",""," - ","","['rec5lk0QYkbNITOuM']","",""
"Die halwe kring (1947)","Die halwe kring","Single Author|Selected Works","1947","['recxq15WOgg1YwL7j']","","","",""," - ","","['rec2lLIu5JsIVfS2E']","",""
"Zimbabwe (1968)","Zimbabwe","Poem","1968","","","","",""," - ","","['recRO9CBM44wH4DUg', 'recKvZqAtL6Pp1aBI']","",""
"Modern African Prose: An Anthology (1967)","Modern African Prose: An Anthology","Anthology","1967","['recKkNwvXwxWNXvFT']","['reckYc4fBX8zNzPHT']","","",""," - ","","['rececTptFmwCm7GlQ', 'reccHLGdXPRowTH5q', 'recr17C2uL4VNIHIE']","",""
"An Africa For the Africans: A Plea on Behalf of Territorial Segregation Areas and Their Freedom in a Southern African Colony (1927)","An Africa For the Africans: A Plea on Behalf of Territorial Segregation Areas and Their Freedom in a Southern African Colony","Single Author|Full Length","1927","","","","",""," - ","","['rec82nCGOInIHCkHg']","",""
"A Corner of the World: Thirty-Four Poems (1962)","A Corner of the World: Thirty-Four Poems","Single Author|Selected Works","1962","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['recl8bqysAAYt66VW']","",""
"Leurres et Lueurs (1960)","Leurres et Lueurs","Single Author|Selected Works","1960","['recg6W1lHLDtNPmtl']","['recaO8FXmzgUWmwxw']","","",""," - ","","['rec44fKJYiuYpDV1V']","",""
"A Shuttle in the Crypt (1972)","A Shuttle in the Crypt","Single Author|Selected Works","1972","['recpLUfamQkTp1CRI']","['recRPTnrNPU6ArRJv']","","",""," - ","","['recZc5dTLy5NbeUNr']","",""
"The Bed-Book of Happiness (1914)","The Bed-Book of Happiness","Single Author|Full Length","1914","['reciRpC86N1AiiFL2']","['recR6YHhrfthZo5tS']","","",""," - ","","","",""
"Africa: Verses (1939)","Africa: Verses","Single Author|Selected Works","1939","","","","",""," - ","","['recH9sNHB0faB7w5B']","",""
"The Submarine and the Aeroplane (1917)","The Submarine and the Aeroplane","Single Author|Selected Works","1917","['recCGS5qIEq3w252l']","['recZw13lsI65j01ma']","","",""," - ","","['recRzzujPji04Mdo4']","",""
"Poems (1962)","Poems","Single Author|Selected Works","1962","['recsbhF8jfAiLQIpI']","['recesdnoCDNCstSIs']","","",""," - ","","['recGaJ53Ar09r1XOn']","",""
"As I See It (2006)","As I See It","Single Author|Selected Works","2006","","","","",""," - ","","['recJCCNhtSGttlgTR']","",""
"Mannin (Difficult to translate: the name of Eve given in Biblical terms if Adam being ""man"", Eve was called ""wo-man"") (1974)","Mannin (Difficult to translate: the name of Eve given in Biblical terms if Adam being ""man"", Eve was called ""wo-man"")","Single Author|Selected Works","1974","","","","",""," - ","","['rechuSWHRtPivhKrT']","",""
"Hommes de tous les continents (1967)","Hommes de tous les continents","Single Author|Selected Works","1967","['recg6W1lHLDtNPmtl']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recO8KB7zu22fNgJj']","",""
"Sechuana Proverbs and Their European Equivalents (1916)","Sechuana Proverbs and Their European Equivalents","Single Author|Selected Works","1916","['reczjgezH0UsZgDvy']","","","",""," - ","","['recm5RJSO3iCgV6t8']","",""
"Changes: A Love Story (1991)","Changes: A Love Story","Single Author|Full Length","1991","['recqoRRFUFyrl2XZe']","['recRPTnrNPU6ArRJv']","","",""," - ","","['recrP6Tm5VGHCU2aP']","True","['recGaUiUXcesp8sBm', 'recKygM5SrfuctrOU']"
"Anthology of British Women Writers (1989)","Anthology of British Women Writers","Anthology","1989","['recDDHCQt5nbE3YO0']","['recRPTnrNPU6ArRJv']","","",""," - ","","['receQbNhUBhUZUjdU', 'rec5hAw0WBFrhI3jz']","","['rec7QDWEjvfHWmqS8']"
"Casualties: Poems 1966–68 (1970)","Casualties: Poems 1966–68","Single Author|Selected Works","1970","['recRsVszFKP5MKxng']","['recRPTnrNPU6ArRJv']","","",""," - ","","['rec95IdgZy1WpIcNO']","",""
"The Great Plateau of Northern Rhodesia (1911)","The Great Plateau of Northern Rhodesia","Single Author|Selected Works","1911","['recWAkgjRUMcN4caq']","","","",""," - ","","['recAIJxbHe0r4GtJx']","",""
"Uurglas (1955)","Uurglas","Single Author|Selected Works","1955","['recJlRVhcyEr0JW8a']","['recByKWBNYTnFNrCp']","","",""," - ","","['rec343XxUjzpcT30Q']","",""
"Cemetery of Mind (1992)","Cemetery of Mind","Single Author|Selected Works","1992","","","","",""," - ","","['rec6jgIfMSfqbYoeS']","",""
"Die Vlakte en ander gedigte (""The Plains and Other Poems"") (2013)","Die Vlakte en ander gedigte (""The Plains and Other Poems"")","Single Author|Collected Works","2013","['recBYYQNYZ3nOfkbj']","","","",""," - ","","['recEaVUZwO6HUGQ4a']","",""
"The Mummy (1963)","The Mummy","Single Author|Selected Works","1963","","","","",""," - ","","['rec2C8kLP9SOiyFhN']","",""
