Id,unique_id,Article title,Document type,Content type,Article Date,Publication,Source page no,Source link,Gale ID,Source access date,Archive,Excerpt,Permissions
The Times Diary: A Ghanaian Playwright (1967-10-04),apdp.cite.000302,The Times Diary: A Ghanaian Playwright,Critical Article,Newspaper,1967-10-04,The Times,10,https://link.gale.com/apps/doc/CS168389956/GDCS?u=linc74325&sid=GDCS&xid=b419db2e,GALE|CS168389956,2020-07-27,The Times Digital Archive,"Excerpt: ""So far the only West African playwright we know much about is the Nigerian Wole Soyinka. The next may be Ama Ata Aidoo, 27, a short, good-natured Ghanaian writer.  The London-based Ijinle Company, which performed Soyinka's The Lion and the Jewel at the Royal Court in December, is anxious to present her first play, Dilemma of a Ghost (published here by Longmans)... Her belief is that she can only find real validity as a playwright by absorbing the spirit of Ghana's indigenous mime and dance drama.""",© Times Newspapers Limited.
The Times Diary: Speak up about Soyinka (1968-09-06),apdp.cite.000303,The Times Diary: Speak up about Soyinka,News Report,Newspaper,1968-09-06,The Times,10,https://link.gale.com/apps/doc/CS168390438/GDCS?u=linc74325&sid=GDCS&xid=263ad5aa,GALE|CS168390438,2020-07-27,The Times Digital Archive,"Full Text: ""It is now almost a year since Wole Soyinka, the Nigerian playwright who was arrested by the Nigerian Government after he visited Biafra, was seen alive; and in spite of rumours that he had been killed or was seriously ill, General Gowon's regime has remained silent on his fate. Now Ama Ata Aidoo, a Ghanaian playwright, has written to General Gowon asking him to break the silence. Miss Aidoo, who decided to write the letter because she felt an official explanation was needed, met Soyinka some time ago. 'I don't know whether he will answer the letter or whether he will even get it,' she says. She has addressed her letter through the Nigerian High Commission in London. 'But I felt it should be written. People should not be allowed to forget Wole Soyinka's disappearance.' If General Gowon is worried about federal Nigeria's reputation for justice, he would do well to clear up this serious matter.""",© Times Newspapers Limited.
"Love, charity, and fantasy (1988-05-22)",apdp.cite.000304,"Love, charity, and fantasy",Event Announcement,Newspaper,1988-05-22,The Sunday Times,12,"https://link.
gale.com/apps/doc/FP1801891801/GDCS?u=linc74325&sid=GDCS&xid=c181db22",GALE|FP1801891801,2020-07-27,"""The Sunday Times Historical Archive,""","Full Text: ""Our Sister Killjoy by Ama Ata Aidoo. Republished as an African classic, this book traces the reactions of a girl from Ghana who earns an opportunity to travel. She arrives in Germany and is confused. It is the first time she has felt that her colour is a badge of difference. Although pleased by contacts with other students from different countries, she is puzzled by the over friendly approaches of a German hausfrau. What mystifies her most is that such unhappiness can exist in the middle of such luxury. Written in a mixture of prose and of poetry, the book captures the naivety and freshness of a first experience (Longman 3.50).""",© Times Newspapers Limited.
Elite Performances (1983-01-14),apdp.cite.000305,Elite Performances,Book Review,Newspaper,1983-01-14,The Times Literary Supplement,43,https://link.gale.com/apps/doc/EX1200440211/GDCS?u=linc74325&sid=GDCS&xid=63270fcc,GALE|EX1200440211,2020-07-27,"""The Times Literary Supplement Historical Archive,""","Excerpt: ""One of the themes in The Development of African Drama is that those who would preserve the traditional culture of Africa are actually destroying it, encouraging the desire to perfect the arts of performance, but at the cost of losing touch with the community which alone gives them meaning and value...Etherton offers a lengthy series of accounts of the conditions which have led up to and which surround the production and performance or publication of a wide range of plays from various parts of (mainly Anglophone) Africa. The plays are categorized according to the issues which his overall approach suggests--the survival of the orally transmitted theatre; the growth of ""literary"" or ""art"" theatre, and the institutions which promote it; the relationship between written texts and performance; ""protest"" theatre; and so on. There is a detailed discussion of the work of individual playwrights such as Soyinka, Ngugi, Ama Ata Aidoo, Rotimi, Ebrahim Hussein...""",
Father and son (1973-08-31),apdp.cite.000306,Father and son,Book Review,Newspaper,1973-08-31,The Times Literary Supplement,993,"https://link.gale.com/apps/doc/EX1200391803/
GDCS?u=linc74325&sid=GDCS&xid=29d81870",GALE|EX1200391803,2020-07-27,"""The Times Literary Supplement Historical Archive,""","Excerpt: ""The appearance of this novel comes as a surprise in two ways. First, it is interesting that Ndabaningi Sithole, whose reputation was first made by his polemical book on African Nationalism, should have turned to imaginative writing during his long years of imprisonment by the Smith regime... In recent African writing the struggle between different cultural values is often internalized. It rages within the mind of the hero, sometimes paralysing his will to action, instead of being projected into a simple contest between generations or between city and village. Representative of this more complex formulation are such novels of the past decade as Ayi Kwei Armah's Fragments, Wole Soyinka's The Interpreter, Kofi Awoonor's This Earth, My Brother, or Leonard Kibera's Voices in the Dark...""",
Folklore Modern Style (1969-10-22),apdp.cite.000307,Folklore Modern Style,Critical Article,Newspaper,1969-10-22,The Times,VIII,"https://
link.gale.com/apps/doc/CS638153046/GDCS?u=linc74325&sid=GDCS&xid=fc458b0a",GALE|CS638153046,2020-07-27,The Times Digital Archive,"Excerpt: ""It's a fact of history that one of the Gold Coast's (modern Ghana's) earliest exports--along with the gold dust and the slaves--was her folklore which was carried with them (it was virtually all that they could carry) when these pitiful units of human cargo were shipped across the Atlantic to North and South America and to the Caribbean islands...Back at home in west Africa, where the written word had not yet been developed, the oral traditions and the art of the story tellers remained the basis for all history and literature."" ",© Times Newspapers Limited.
Little attention paid to youth culture (1971-09-30),apdp.cite.000308,Little attention paid to youth culture,Critical Article,Newspaper,1971-09-30,The Times,VII,https://link.gale.com/apps/doc/CS587691326/GDCS?u=linc74325&sid=GDCS&xid=c0d6574e,GALE|CS587691326,2020-07-27,The Times Digital Archive,"Excerpt: ""The performing arts have always had the edge over all others in Ghana. No matter where one comes from, one's first exposure to fiction is most likely to have been in the form of dramatized folk tales, with a group audience, in which the narrator would act each character in turn, with interest being sustained through the creation of junctions in the story at which a pause could conveniently be made and a song interjected...When Ama Ata Aidoo writes a story about a girl and her wig, you can hear the Fanti-Woman bursting through it, alive and well, and ready at any moment to rush on to the sands of the beach to tease a headload of fish out of the sinewy fishermen who dare not to go to sea on Tuesdays... Unfortunately, not much of the young people's culture is reflected in the newspapers or the other media, though there is a channel on Ghana Radio that attempts to reach the youngsters with pop music...""",© Times Newspapers Limited.
A Guide to Twentieth-Century Women Novelists (1997-06-27),apdp.cite.000309,A Guide to Twentieth-Century Women Novelists,Book Review,Newspaper,1997-06-27,The Times Literary Supplement,25,https://link.gale.com/apps/doc/EX1200487328/GDCS?u=linc74325&sid=GDCS&xid=011d56c7,GALE|EX1200487328,2020-07-27,"""The Times Literary Supplement Historical Archive,""","Excerpt: ""The Guide contains 135 entries on individual English-language authors from five continents, each entry written by Wheeler herself. A resulting unevenness is understandable but, in some cases, mystifying... Writers famous for their critical and essayistic work -- Elizabeth Hardwick, Dorothy Parker, Susan Sontag -- are included, alongside canonical giants -- Edith Wharton, Gertrude Stein, Virginia Woolf -- and important Third World authors -- the South African Bessie Head, the Ghanaian Ama Ata Aidoo, the Indian Shashi Deshpande.",
Close Company: Stories of mothers and daughters (1987-11-06),apdp.cite.000310,Close Company: Stories of mothers and daughters,Event Announcement,Newspaper,1987-11-06,The Times Literary Supplement,1227,https://link.gale.com/apps/doc/EX1200173029/GDCS?u=linc74325&sid=GDCS&xid=13032de7,GALE|EX1200173029,2020-07-27,"""The Times Literary Supplement Historical Archive,""","Full Text: ""Close Company: Stories of mothers and daughters, edited by Christine Park and Caroline Heaton (298pp. Virago. 10.95; paperback, 4.95...), brings together twenty-five stories by writers as diverse as Ama Ata Aidoo, Judith Chernaik and Zhang Jie, and includes new work by Margaret Atwood, Alison Fell and Jeanette Winterson.""",
Commonwealth writing from Africa (1965-09-16),apdp.cite.000311,Commonwealth writing from Africa,Event Announcement,Newspaper,1965-09-16,The Times Literary Supplement,793,"https://link.gale.com/apps/doc/EX1200337649/GDCS?
u=linc74325&sid=GDCS&xid=29fa84d8",GALE|EX1200337649,2020-07-27,"""The Times Literary Supplement Historical Archive,""","The announcement features African writers whose novels/collections have recently been published. Major poets include Wole Soyinka (Black Orpheus), John Pepper Clark (A Reed in the Tide) and Christina Ama Ata Aidoo (The Dilemma of a Ghost). Excerpt: ""The Dilemma of a Ghost: Christina Ama Ata Aidoo. A lively play in five acts. It is set in Ghana and tells of problems in a Ghanaian family when the eldest son brings home an Afro-American wife."" ",
Miracle at the margin (2000-11-24),apdp.cite.000312,Miracle at the margin,Book Review,Newspaper,2000-11-24,The Times Literary Supplement,26,"https://link.gale.com/apps/doc/EX1200540309/GDCS?u=
linc74325&sid=GDCS&xid=9cf10ac2",GALE|EX1200540309,2020-07-27,"""The Times Literary Supplement Historical Archive,""","A book review for Stephen Gray's ""The Picador Book of African Stories."" Excerpt: ""In his introduction, Stephen Gray outlines his ambitions for his Picador Book of African Stories. The collection is to include a fair proportion of works originally written in languages other than English. It is to include stories from the islands off the eastern coast of Africa, a region previously neglected in African anthologies; and it is to admit 'irregular' writers who do not easily fall into the reductive classifications sometimes favoured by editors... Ama Ata Aidoo (from Ghana) and Fatmata Conteth (from Ethiopia) are among half-a-dozen writers who treat the lives of women with similarly captivating incisiveness..."" ",
Refusing to learn (1986-12-19),apdp.cite.000313,Refusing to learn,Book Review,Newspaper,1986-12-19,The Times Literary Supplement,1428,https://link.gale.com/apps/doc/EX1200170365/GDCS?u=linc74325&sid=GDCS&xid=fd5da3cf,GALE|EX1200170365,2020-07-27,"""The Times Literary Supplement Historical Archive,""","A book review by Jo-Ann Goodwin on Angela Carter's anthology ""Wayward Girls and Wicked Women."" Excerpt: ""As Angela Carter points out in her introduction to this volume of stories, the misbehavior of women has invariably been synonymous with sexual transgression - promiscuity and infidelity being construed throughout history as a woman's most serious crimes. The sin of many of the women in these stories is simply doing what they want to do... Ama Ata Aidoo, in 'The Plums,' describes a Ghanaian girl taking part in an international youth visit, rightly wary of the bonhomie which surrounds her...""",
Ghana Sackings (1983-06-15),apdp.cite.000314,Ghana Sackings,News Report,Newspaper,1983-06-15,The Times,5,"https://link.
gale.com/apps/doc/CS85691599/GDCS?u=linc74325&sid=GDCS&xid=9a8d4dae",GALE|CS85691599,2020-07-27,The Times Digital Archive,"Full Text: ""Ghana Sackings. Accra (AFP) - In a Ghana Cabinet reshuffle, two ministers were dismissed, Mr Johnny Hansen (Labour and Social Welfare) and Mr [sic] Ama Ata Aidoo (Education). They are replaced, respectively, by Mr Ato Austin (formerly Information) and Mr U. C. Dadson.""",© Times Newspapers Limited.
Second Crop (1967-03-23),apdp.cite.000315,Second Crop,Book Review,Newspaper,1967-03-23,The Times Literary Supplement,244,"https://link.gale.
com/apps/doc/EX1200146236/GDCS?u=linc74325&sid=GDCS&xid=e60ed9de",GALE|EX1200146236,2020-07-27,"""The Times Literary Supplement Historical Archive,""","A. Moore reviews ""African Writing Today,"" an anthology edited by Ezekiel Mphahlele. Excerpt: ""In a field where the number of anthologies threatens to outstrip the output of original work, where the same stories and poems tend to crop up again and again, and where collection of texts is too often offered as a substitute for critical evaluation, the appearance of a new anthology seems to present a suitable occasion for demanding the purpose of it all... At the other end of Africa, Ama Ata Aidoo of Ghana discovers her [compassion] by feeling for the thread of their speech as it strives to catch hold of meaning in a dark stream of events...""",
Too close for comfort (1987-11-15),apdp.cite.000316,Too close for comfort,Book Review,Newspaper,1987-11-15,The Sunday Times,60,"https://link.gale.com/apps/doc/FP1801745258/GDCS?u=linc74325&sid=
GDCS&xid=c62da1b4",GALE|FP1801745258,2020-07-27,"""The Sunday Times Historical Archive,""","Penny Perrick reviews ""Close Company: Stories of Mothers and Daughters"" edited by Christine Park and Caroline Heaton. Excerpt: ""The battle between mothers and daughters, a battle in which both are engaged as long as they both shall live, is both remorseless and futile. Every daughter knows that she will end up like her mother and yet fights for a spurious sense of identity... In The Late Bud by Ama Ata Aidoo, the naughty daughter - that is the hoydenish daughter - is never referred to as 'my child' as is her more amenable sister, a source of psychological torment. A mother's most deadly weapon is the withholding of knowledge; if a daughter is allowed to glimpse her future, she may not accept it...""",© Times Newspapers Limited.
Voices of Empire (1993-04-09),apdp.cite.000317,Voices of Empire,Book Review,Newspaper,1993-04-09,The Times Literary Supplement,22,"https://link.gale.com/apps/doc/EX1200469695/GDCS?u=
linc74325&sid=GDCS&xid=639fa5fa",GALE|EX1200469695,2020-07-27,"""The Times Literary Supplement Historical Archive,""","Maria Couto reviews two works, ""Fault Lines"" by Meena Alexander and ""Unbecoming Daughters of Empire"" collected and edited by Shirley Chew and Anna Rutherford. Excerpt: ""Both of these books - one a memoir, the other a vivid and enthralling playback of voices - unfold private lives stamped by Empire and shaped by emerging forces of independence and nationalism... The Ghanaian novelist Ama Ata Aidoo writes of her grandfather who was tortured to death...""",
Letter from Harare (2000-11-03),apdp.cite.000318,Letter from Harare,Critical Article,Newspaper,2000-11-03,The Times Literary Supplement,19,"https://link.gale.com/apps/doc/EX1200501869/GDCS?u=
linc74325&sid=GDCS&xid=8266e30d",GALE|EX1200501869,2020-07-27,"""The Times Literary Supplement Historical Archive,""","A critical account by Charles Larson of the current political and economic crisis facing Zimbabwe in the wake of President Mugabe. Specifically, Larson details the failure of the International Book Fair of 2000, held in Harare. Excerpt: ""I was in Harare to attend this year's Zimbabwe International Book Fair, the fifteenth, and, unsurprisingly, a shadow of some recent ones - not so much in numbers but in vitality. Known as Africa's largest book event, the annual fair suffered a significant falling off rate because of the legitimate fears of international visitors (including Africans from other parts of the continent), many of whom made their decision to attend at the last minute or to skip this year entirely... Still, this year's Book Fair ('Celebrating African Books') left one extraordinary mark on the continent itself, as well as on the international literary world. Few major writers made it to the fair, though many were asked. Ghana was the 'focus' country, but even Ghana's most esteemed writers (Kofi Awoonor, Ayi Kwei Armah and Ama Ata Aidoo), announced in pre-Book Fair press releases, did not show up...""",
The Primacy of the Performer (1976-09-17),apdp.cite.000319,The Primacy of the Performer,Book Review,Newspaper,1976-09-17,The Times Literary Supplement,1175,https://link.gale.com/apps/doc/EX1200415115/GDCS?u=linc74325&sid=GDCS&xid=b20d9fb0,GALE|EX1200415115,2020-07-27,"""The Times Literary Supplement Historical Archive,""","Book reviews by Geoffrey Axworthy. He critiques three books: ""African Theatre Today"" by Martin Banham, ""The Drama of Black Africa"" by Anthony Graham-White, and ""African Literature Today"" by Eldred Durosimi Jones. Excerpt: ""'African Theatre Today' is a well-organized and thoroughly readable introduction to the works of the principal published dramatists of West and East Africa, with a concise account of their cultural and theatrical backgrounds. Extensive quotations from the plays, clearly related to context, and the attractive format of the book, make it a pleasure to read... This quality is unfortunately lacking in Anthony Graham-White's 'The Drama of Black Africa.' ... One important point that all three books tend to obscure (for instance, through book lists giving dates of publication rather than composition) is that the flow of dramatic writings of high literary quality in English has dried to a trickle in the past decade. One of the reasons for this is undoubtedly political disillusionment, the ebbing of the powerful romantic and idealistic forces that produced an astonishing flood of creativity in the period just before and just after independence...""",
Hopes and resentments (1985-11-29),apdp.cite.000320,Hopes and resentments,Book Review,Newspaper,1985-11-29,The Times Literary Supplement,1370,https://link.gale.com/apps/doc/EX1200448398/GDCS?u=linc74325&sid=GDCS&xid=0cc32cef,GALE|EX1200448398,2020-10-27,"""The Times Literary Supplement Historical Archive,""","Review of Jeni Couzyn's poems in  her anthology and here selected poems ""Life By Drowning. ",
Heinemann (1964-04-05),apdp.cite.000321,Heinemann,Advertisement,Newspaper,1964-04-05,The Sunday Times,p. 35,https://link-gale-com.libproxy.unl.edu/apps/doc/FP1800693337/STHA?u=linc74325&sid=bookmark-STHA&xid=7b152645,GALE|FP1800693337,2021-09-25,"""Gale Primary Sources Database

Print:""","""Achebe, Arrow of God""",
Tale of Two Africas (1964-03-22),apdp.cite.000322,Tale of Two Africas,Critical Article,Newspaper,1964-03-22,The Sunday Times, - ,https://link-gale-com.libproxy.unl.edu/apps/doc/FP1801030600/STHA?u=linc74325&sid=bookmark-STHA&xid=e14b011b,GALE|FP1801030600,2021-09-25,"""Gale Primary Sources Database

Print:""","""The two writers who represent to me the bursting buds of young African literature--writing in English but supremely of Negro Africa are Noni Jabavu, Xhosa of South Africa, and Chinua Achebe, the Ibo of Nigeria.",
Heinemann (1966-02-27),apdp.cite.000323,Heinemann,Advertisement,Newspaper,1966-02-27,The Sunday Times,p. 30,https://link-gale-com.libproxy.unl.edu/apps/doc/FP1800766385/STHA?u=linc74325&sid=bookmark-STHA&xid=34497a18,GALE|FP1800766385,,"""Gale Primary Sources Database

Print:""","""The development of Mr. Chinua Achebe is one of the few really hopeful things that has happened to the English novel in the past 10 years...."" ",
Straw in an Ill Wind (1966-01-30),apdp.cite.000324,Straw in an Ill Wind,Critical Article,Newspaper,1966-01-30,The Sunday Times,p. 47,https://link-gale-com.libproxy.unl.edu/apps/doc/FP1800764613/STHA?u=linc74325&sid=bookmark-STHA&xid=c4859c82,GALE|FP1800764613,,"""Gale Primary Sources Database

Print:""","""In his new novel, Chinua Achebe emerges from the state of an ex-native interpreter to that of a social reformer.""",
Heinemann (1978-10-20),apdp.cite.000325,Heinemann,Advertisement,Newspaper,1978-10-20,The Times Literary Supplement,p. 1203,https://link.gale.com/apps/doc/EX1200426353/GDCS?u=linc74325&sid= GDCS&xid=734965e2,GALE|EX1200426353,2019-12-17,"""The Times Literary Supplement Historical Archive,""","[Excerpt]: ""The Literature and Thought of Modern Africa. Claude Wauthier. The second edition of this renowned work has been updated to include the new intellectuals: Wole Soyinka, Ayi Kewi Armah, Chinua Achebe and Ngugi among others... African Writers Series. Latest additions to this world famous series, now comprising over 200 titles. The Journey Within. I. N. C. Aniebo.... The Fisherman's Invocation: Poems by Gabriel Okara...""",
Biafra: The Darkness in Africa (1968-06-09),apdp.cite.000326,Biafra: The Darkness in Africa,News Report,Newspaper,1968-06-09,The Sunday Times,p. 24,https://link-gale-com.libproxy.unl.edu/apps/doc/FP1800791792/STHA?u=linc74325&sid=bookmark-STHA&xid=9e677b0a,GALE|FP1800791792,,"""Gale Primary Sources Database

Print:""","""Impartial judgments and balanced views do not come from men and nations fighting for survival.""",
Biafra voices (1969-08-03),apdp.cite.000327,Biafra voices,Editorial Letter,Newspaper,1969-08-03,The Sunday Times,p. 8,https://link-gale-com.libproxy.unl.edu/apps/doc/FP1801524995/STHA?u=linc74325&sid=bookmark-STHA&xid=4cedf5b1,GALE|FP1801524995,,"""Gale Primary Sources Database

Print:""","""As someone who supports a progressive Federation as the only solution to the Nigerian Civil War,""",
A Sunday Dilemma: Getaway People and Ghetto People (1969-12-14),apdp.cite.000328,A Sunday Dilemma: Getaway People and Ghetto People,Feature,Newspaper,1969-12-14,The Sunday Times,p. 27,https://link-gale-com.libproxy.unl.edu/apps/doc/FP1800564457/STHA?u=linc74325&sid=bookmark-STHA&xid=2122f541,GALE|FP1800564457,,"""Gale Primary Sources Database

Print:""","""The sixties are at an end. But the colour-supplements are not.""",
Words soften Biafra's defeat (1970-08-23),apdp.cite.000329,Words soften Biafra's defeat,Critical Article,Newspaper,1970-08-23,The Sunday Times,p. 7,https://link-gale-com.libproxy.unl.edu/apps/doc/FP1801528153/STHA?u=linc74325&sid=bookmark-STHA&xid=67e9258b,GALE|FP1801528153,,"""Gale Primary Sources Database

Print:""","""The Federal Government of Nigeria was reported last week to be purging the Civil Service, weeding out officials who were thought to have aided Biafra during the civil war.""",
Reading Round the World (1973-12-30),apdp.cite.000330,Reading Round the World,News Report,Newspaper,1973-12-30,The Sunday Times,p. 31,https://link-gale-com.libproxy.unl.edu/apps/doc/FP1800710422/STHA?u=linc74325&sid=bookmark-STHA&xid=73e46efe,GALE|FP1800710422,,"""Gale Primary Sources Database

Print:""","""The notion that creative writers should not commit themselves politically in their works but should entertain their readers with beautifully wrought but ""harmless"" yarns...""",
The Man with the Gold Typewriter (1976-04-11),apdp.cite.000331,The Man with the Gold Typewriter,Feature,Newspaper,1976-04-11,The Sunday Times,p. 55[s],https://link-gale-com.libproxy.unl.edu/apps/doc/FP1802538158/STHA?u=linc74325&sid=bookmark-STHA&xid=ba528e1f,GALE|FP1802538158,,"""Gale Primary Sources Database

Print:""","""A portrait of Wilbur Smith, Africa's best-selling novelist ever.""",
The White Novel's Burden (1977-03-27),apdp.cite.000332,The White Novel's Burden,Critical Article,Newspaper,1977-03-27,The Sunday Times,p. 39,https://link-gale-com.libproxy.unl.edu/apps/doc/FP1800619811/STHA?u=linc74325&sid=bookmark-STHA&xid=50c616bc,GALE|FP1800619811,2021-09-28,"""Gale Primary Sources Database

Print:""","""Probably because realities in developing countries are more naked than those in developing countries,""",
Buchi's Brilliant Career (1983-11-16),apdp.cite.000333,Buchi's Brilliant Career,Critical Article,Newspaper,1983-11-16,The Sunday Times,p. 102[s],https://link-gale-com.libproxy.unl.edu/apps/doc/FP1801100827/STHA?u=linc74325&sid=bookmark-STHA&xid=efd2259b,GALE|FP1801100827,2021-09-28,"""Gale Primary Sources Database

Print:""","""Buchi Emecheta is rather like the heroine of a schoolgirls' story.""",
What Must a People Do (1987-09-20),apdp.cite.000334,What Must a People Do,Critical Article,Newspaper,1987-09-20,The Sunday Times,p. 56,https://link-gale-com.libproxy.unl.edu/apps/doc/FP1803085334/STHA?u=linc74325&sid=bookmark-STHA&xid=a852298f,GALE|FP1803085334,,"""Gale Primary Sources Database

Print:""","""In 1962, I was sent to Nigeria to report on the ceremonies and celebrations of independence and the handover of power to the new state.""",
Focus on an Annual War of Words (1987-09-27),apdp.cite.000335,Focus on an Annual War of Words,Critical Article,Newspaper,1987-09-27,The Sunday Times,p. 63,https://link-gale-com.libproxy.unl.edu/apps/doc/FP1801877453/STHA?u=linc74325&sid=bookmark-STHA&xid=cbafd146,GALE|FP1801877453,2021-09-28,"""Gale Primary Sources Database

Print:""","""The six titles on this year's Booker shortlist are Anthills of the Savannah by Chinua Achebe, Chatterton by Peter Ackroyd, Circles of Defeat by Nina Bawden, Moon Tiger by Penelope Lively, The Colour of Blood by Brian Moore,  and The Book and the Brotherhood by Iris Murdoch.""  ",
The Booker Shortlist All Signed-Up (1987-10-04),apdp.cite.000336,The Booker Shortlist All Signed-Up,Advertisement,Newspaper,1987-10-04,The Sunday Times,p. 64,https://link-gale-com.libproxy.unl.edu/apps/doc/FP1802042417/STHA?u=linc74325&sid=bookmark-STHA&xid=7100eea9,GALE|FP1802042417,2021-09-28,"""Gale Primary Sources Database

Print:""","""The six titles on this year's Booker shortlist are Anthills of the Savannah by Chinua Achebe, Chatterton by Peter Ackroyd, Circles of Defeat by Nina Bawden, Moon Tiger by Penelope Lively, The Colour of Blood by Brian Moore,  and The Book and the Brotherhood by Iris Murdoch.""  ",
Best Sellers (1987-10-11),apdp.cite.000337,Best Sellers,Advertisement,Newspaper,1987-10-11,The Sunday Times,p. 65,https://link-gale-com.libproxy.unl.edu/apps/doc/FP1801878738/STHA?u=linc74325&sid=bookmark-STHA&xid=2c443288,GALE|FP1801878738,2021-09-29,"""Gale Primary Sources Database

Print:""","""Best Sellers""",
Butler Didn't Do It (1987-11-01),apdp.cite.000338,Butler Didn't Do It,News Report,Newspaper,1987-11-01,The Sunday Times,p. 63,https://link-gale-com.libproxy.unl.edu/apps/doc/FP1802043878/STHA?u=linc74325&sid=bookmark-STHA&xid=b6fae79e,GALE|FP1802043878,2021-09-29,"""Gale Primary Sources Database

Print:""","""Clearly the splash event of the week and of the literary season is the Booker prizegiving.""",
Who Won What in 1987 (1987-11-29),apdp.cite.000339,Who Won What in 1987,News Report,Newspaper,1987-11-29,The Sunday Times, - ,https://link-gale-com.libproxy.unl.edu/apps/doc/FP1802047337/STHA?u=linc74325&sid=bookmark-STHA&xid=dc0cb147,GALE|FP1802047337,2021-09-29,"""The Sunday Times Historical Archive,""","""As literary prizes proliferate, here is a guide to where the prestige - and the money - went during the year.""",
"Where Britannia ruled, she also served  (2021-09-29)",apdp.cite.000340,"Where Britannia ruled, she also served ",Critical Article,Newspaper,2021-09-29,The Sunday Times,p. 1[s],https://link-gale-com.libproxy.unl.edu/apps/doc/FP1802241189/STHA?u=linc74325&sid=bookmark-STHA&xid=b1e40981,GALE|FP1802241189,2021-09-29,"""The Sunday Times Historical Archive,""","""I am no astrologer but there is something about the last decade of each century that stirs the juices of adventure.""",
Verbs that find themselves prepositioned (1989-06-11),apdp.cite.000341,Verbs that find themselves prepositioned,Critical Article,Newspaper,1989-06-11,The Sunday Times,p. 8[s5],https://link-gale-com.libproxy.unl.edu/apps/doc/FP1802792404/STHA?u=linc74325&sid=bookmark-STHA&xid=a6538eb5,GALE|FP1802792404,2021-09-29,"""The Sunday Times Historical Archive,""","""Jonathan Porritt concluded an article on Green politics in the recent issue of the Listener by saying: Be it as it may the Government no has an enormous challenge on its hands if its is to prevent its new environmental awareness backfiring in its face.""",
BBC1 (1990-02-04),apdp.cite.000342,BBC1,Radio Schedule,Newspaper,1990-02-04,The Sunday Times,p. 16[S3],https://link-gale-com.libproxy.unl.edu/apps/doc/FP1802256099/STHA?u=linc74325&sid=bookmark-STHA&xid=066f8518,GALE|FP1802256099,2021-09-29,"""The Sunday Times Historical Archive,""","""Inside the week ahead of today's radio.""",
Monday (1990-10-28),apdp.cite.000343,Monday,Radio Schedule,Newspaper,1990-10-28,The Sunday Times,p. 25[S5],https://link-gale-com.libproxy.unl.edu/apps/doc/FP1802810568/STHA?u=linc74325&sid=bookmark-STHA&xid=aaf4fbed,GALE|FP1802810568,2021-09-29,"""The Sunday Times Historical Archive,""","""Radio: The Monday Play: Anthills of the Savannah.""",
Chinua Achebe (1991-09-22),apdp.cite.000344,Chinua Achebe,Critical Article,Newspaper,1991-09-22,The Sunday Times, - ,https://link-gale-com.libproxy.unl.edu/apps/doc/FP1801756482/STHA?u=linc74325&sid=bookmark-STHA&xid=85d8a120,GALE|FP1801756482,2021-09-29,"""The Sunday Times Historical Archive,""","""Chinua Achebe, Nigerian, b. 1930, writer.""",
Our Contributors (1991-11-10),apdp.cite.000345,Our Contributors,Editorial Letter,Newspaper,1991-11-10,The Sunday Times, - ,https://link-gale-com.libproxy.unl.edu/apps/doc/FP1801901252/STHA?u=linc74325&sid=bookmark-STHA&xid=42c09e4c,GALE|FP1801901252,2021-09-29,"""The Sunday Times Historical Archive,""","""Our Contributors""",
Radio (1992-08-02),apdp.cite.000346,Radio,Radio Schedule,Newspaper,1992-08-02,The Sunday Times,p. 22[S7],https://link-gale-com.libproxy.unl.edu/apps/doc/FP1802716597/STHA?u=linc74325&sid=bookmark-STHA&xid=afe369b0,GALE|FP1802716597,2021-09-29,"""The Sunday Times Historical Archive,""","""live 3:30. Off the Shelf: By the Nigerian Writer, Chinua Achebe.""",
Radio (1992-08-09),apdp.cite.000347,Radio,Radio Schedule,Newspaper,1992-08-09,The Sunday Times,p. 22[S7],https://link-gale-com.libproxy.unl.edu/apps/doc/FP1803113980/STHA?u=linc74325&sid=bookmark-STHA&xid=f5aa170c,GALE|FP1803113980,2021-09-29,"""The Sunday Times Historical Archive,""","""live 3:30 Off the Shelf: Things Fall Apart, by the Nigerian writer Chinua Achebe.""",
Radio (1992-08-16),apdp.cite.000348,Radio,Radio Schedule,Newspaper,1992-08-16,The Sunday Times,p. 22[S7],https://link-gale-com.libproxy.unl.edu/apps/doc/FP1803114610/STHA?u=linc74325&sid=bookmark-STHA&xid=043c633d,GALE|FP1803114610,,,"""live 3:30 Off the Shelf: Things Fall Apart, by the Nigerian writer Chinua Achebe""",
Women out the classics in the academe's war of words (1993-10-08),apdp.cite.000349,Women out the classics in the academe's war of words,Critical Article,Newspaper,1993-10-08,The Sunday Times,p. 6,https://link-gale-com.libproxy.unl.edu/apps/doc/FP1802850176/STHA?u=linc74325&sid=bookmark-STHA&xid=256d4d78,GALE|FP1802850176,2021-09-29,"""The Sunday Times Historical Archive,""","""Top 12 Modern Novelists""",
Wednesday 6 September (1995-09-03),apdp.cite.000350,Wednesday 6 September,Advertisement,Newspaper,1995-09-03,The Sunday Times,p. 50[S8],https://link-gale-com.libproxy.unl.edu/apps/doc/FP1803134790/STHA?u=linc74325&sid=bookmark-STHA&xid=a7532476,GALE|FP1803134790,2021-10-01,"""The Sunday Times Historical Archive,""","""Africa 95 - Short Story - Civil Peace, by Chinua Achebe 5:00 PM""",
